"transactiondateutc","uniqueid","itinerary","first_element","last_element","onewayorreturn"
"2019-05-22 17:58:02.737000","5cb33cfe-a17c-e911-a821-8111ee911e19",NBO-TNR-LYS-CDG-NBO-TNR-NBO-AMS-LYS,NBO,LYS,Return
"2019-07-31 01:51:19.017000","00303f85-1cb3-e911-a821-8111ee911e19",PVG-KMG-LGW-PVG-KMG-CCU-KMG-PVG-LHR,PVG,LHR,Return
"2019-08-17 23:22:18.517000","159629b4-2cc1-e911-a821-8111ee911e19",SIN-CEB-PMI-ZRH-SIN-CEB-SIN-ZRH-PMI,SIN,PMI,Return
"2019-06-22 15:24:32.237000","1a9383af-e894-e911-a821-8111ee911e19",SIN-WLG-HAM-FRA-SIN-CHC-SIN-ZRH-HAM,SIN,HAM,Return
"2019-01-19 01:57:14.047000","92df1163-741b-e911-a820-a7f2c9e35195",UIO-SCY-MAD-BOG-UIO-SCY-GYE-CLO-MAD,UIO,MAD,Return
"2019-09-17 05:10:41.937000","9c9ff658-f0d8-e911-a822-e453a8e76766",VTE-PEK-ORD-PVG-KMG-VTE-PEK-PVG-ORD,VTE,ORD,Return
"2019-05-01 22:26:51.390000","9e2f410e-476c-e911-a821-8111ee911e19",BOM-DEL-BOM-RUH-BOM-DEL-PAT-DEL-BOM-RUH,BOM,RUH,Return
"2019-06-07 20:59:06.547000",e3c953eb-4d89-e911-a821-8111ee911e19,DXB-AKL-NPE-AKL-DXB-LHR-LGW-DXB-AKL-NPE,DXB,NPE,Return
"2019-10-23 16:17:52.980000","2f29e97f-97f5-e911-a822-e453a8e76766",IAD-JNB-SDF-IAD-JNB-CPT-JNB-JFK-EWR-SDF,IAD,SDF,Return
"2019-09-14 11:22:22.187000",eac196c2-c8d6-e911-a822-e453a8e76766,IST-NIM-BKO-IST-TXL-IST-NIM-BKO-IST-TXL,IST,TXL,Return
"2019-10-11 04:34:13.673000","413c8a35-c7eb-e911-a822-e453a8e76766",LHR-SYD-LHR-MRS-LHR-SYD-NOU-SYD-LHR-MRS,LHR,MRS,Return
"2019-01-04 20:46:49.567000",ac686eb3-4810-e911-a820-a7f2c9e35195,LHR-SYD-LHR-MUC-LHR-SYD-WLG-SYD-LHR-MUC,LHR,MUC,Return
"2019-07-02 20:39:10.317000",d3f1b648-f09c-e911-a821-8111ee911e19,VIE-CAN-FCO-CDG-VIE-CAN-AKL-CAN-FCO-CDG,VIE,CDG,Return
"2019-07-17 00:02:47.943000","7c46ea0f-0da8-e911-a821-8111ee911e19",AMS-EBB-JRO-AMS-BRU-AMS-EBB-NBO-JRO-AMS-BRU,AMS,BRU,Return
"2019-01-22 00:21:05.593000","77813f75-c21d-e911-a820-a7f2c9e35195",FCO-CAN-PNH-PEK-CDG-FCO-CAN-PNH-PEK-AMS-CDG,FCO,CDG,Return
"2019-02-23 11:00:34.203000","49b09917-4137-e911-a820-a7f2c9e35195",LHR-SYD-LHR-TXL-LHR-SYD-AKL-WLG-SYD-LHR-TXL,LHR,TXL,Return
"2019-11-17 19:39:42.597000","28bc88d5-5809-ea11-a822-e453a8e76766",AEP-FTE-EZE,AEP,EZE,Return
"2019-11-17 06:43:18.550000","2de7975e-ec08-ea11-a822-e453a8e76766",AEP-IGR-EZE,AEP,EZE,Return
"2019-02-26 01:11:12.233000","59f6e141-4a39-e911-a820-a7f2c9e35195",AEP-IGR-EZE,AEP,EZE,Return
"2019-07-28 16:48:51.017000","1cf78169-3eb1-e911-a821-8111ee911e19",AEP-IGR-EZE,AEP,EZE,Return
"2019-10-13 12:43:24.017000",a9151fe1-9ded-e911-a822-e453a8e76766,AEP-SLA-EZE,AEP,EZE,Return
"2019-07-25 17:45:27.453000","2fb99dd6-eaae-e911-a821-8111ee911e19",AEP-SLA-EZE,AEP,EZE,Return
"2019-11-24 18:44:01.237000","167bd639-d10e-ea11-a822-e453a8e76766",CDG-BJA-ORY,CDG,ORY,Return
"2019-01-24 14:31:01.127000","58fd4c81-cb1f-e911-a820-a7f2c9e35195",CDG-CZL-ORY,CDG,ORY,Return
"2019-09-09 13:15:15.047000",c035f4b1-ead2-e911-a821-8111ee911e19,CDG-CZL-ORY,CDG,ORY,Return
"2019-12-01 12:33:56.453000","6e2f2baf-1d14-ea11-a822-e453a8e76766",CDG-MLA-ORY,CDG,ORY,Return
"2019-09-25 22:19:10.937000",eb539f54-c9df-e911-a822-e453a8e76766,CDG-MLA-ORY,CDG,ORY,Return
"2019-08-19 22:35:00.610000",eafe986d-b8c2-e911-a821-8111ee911e19,CDG-TLM-ORY,CDG,ORY,Return
"2019-04-18 15:22:51.253000","0acfa9a9-d461-e911-a821-8111ee911e19",CGH-BPS-GRU,CGH,GRU,Return
"2019-11-06 12:53:15.607000","5780fd3d-7b00-ea11-a822-e453a8e76766",DEL-BHX-ATQ,DEL,ATQ,Return
"2019-12-23 01:16:25.353000","466ea8b0-0825-ea11-a822-e453a8e76766",DPS-AMS-KNO,DPS,KNO,Return
